Feature Set,Model,Fold,Test Start,Test End,AUC
Event Only,Random Forest,16,2014-05-15,2014-08-06,0.5538194444444444
Event Only,XGBoost,16,2014-05-15,2014-08-06,0.5491898148148149
Event Only,Logistic Regression,17,2014-08-07,2014-10-29,0.48035914702581367
Event Only,Random Forest,17,2014-08-07,2014-10-29,0.5527497194163861
Event Only,XGBoost,17,2014-08-07,2014-10-29,0.49270482603815935
Event Only,Logistic Regression,18,2014-10-30,2015-01-21,0.6011428571428572
Event Only,Random Forest,18,2014-10-30,2015-01-21,0.5822857142857143
Event Only,XGBoost,18,2014-10-30,2015-01-21,0.5325714285714287
Event Only,Logistic Regression,19,2015-01-22,2015-04-15,0.46945701357466063
Event Only,Random Forest,19,2015-01-22,2015-04-15,0.44739819004524883
Event Only,XGBoost,19,2015-01-22,2015-04-15,0.47058823529411764
Event Only,Logistic Regression,20,2015-04-16,2015-07-08,0.5951056729699666
Event Only,Random Forest,20,2015-04-16,2015-07-08,0.528921023359288
Event Only,XGBoost,20,2015-04-16,2015-07-08,0.6674082313681868
Event Only,Logistic Regression,21,2015-07-09,2015-09-30,0.4126807563959956
Event Only,Random Forest,21,2015-07-09,2015-09-30,0.45439377085650723
Event Only,XGBoost,21,2015-07-09,2015-09-30,0.3136818687430479
Event Only,Logistic Regression,22,2015-10-01,2015-12-23,0.6400669642857143
Event Only,Random Forest,22,2015-10-01,2015-12-23,0.5602678571428572
Event Only,XGBoost,22,2015-10-01,2015-12-23,0.5329241071428572
Event Only,Logistic Regression,23,2015-12-24,2016-03-16,0.3677455357142857
Event Only,Random Forest,23,2015-12-24,2016-03-16,0.4587053571428572
Event Only,XGBoost,23,2015-12-24,2016-03-16,0.5479910714285713
Event Only,Logistic Regression,24,2016-03-17,2016-06-08,0.4079685746352413
Event Only,Random Forest,24,2016-03-17,2016-06-08,0.4264870931537598
Event Only,XGBoost,24,2016-03-17,2016-06-08,0.4433221099887767
Event Only,Logistic Regression,25,2016-06-09,2016-08-31,0.4048943270300334
Event Only,Random Forest,25,2016-06-09,2016-08-31,0.4477196885428254
